Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Rappaport M.B., Corbally C., Campa R.","56519496200;6602876806;57196059747;","Expanding Ecotheology to Embrace the Earth-Moon System",2022,"Theology and Science","20","2",,"214","234",,,"10.1080/14746700.2022.2051253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126817203&doi=10.1080%2f14746700.2022.2051253&partnerID=40&md5=2f1e34df8b59cf0f4d30b49ab5e606c8","Jagiellonian University in Cracow, Poland; University of Arizona, Tucson, AZ, United States; George Washington Universities, United States","Rappaport, M.B., George Washington Universities, United States; Corbally, C., University of Arizona, Tucson, AZ, United States; Campa, R., Jagiellonian University in Cracow, Poland","An enlarged purview for amplification of religious doctrine can become necessary for a spacefaring species. Settlement of distant planetary bodies involves both technological and theological issues. The authors apply this notion to environmental preservation of the Earth, Earth's Moon, and cislunar space between Earth and Moon, as a unit. In expanding environmental protection beyond Earth to the new cislunar unit, humans take an important step in settling the Moon responsibly. The relationships of immanence and transcendence to the new environmental unit provide examples of the conceptual tasks ahead. Profiles in Ecotheology round out the analysis and point toward future roles. © 2022 Graduate Theological Union (CTNS Program).","Celia Deane-Drummond; Christopher Southgate; ecotheology; immanence; methodology; Moon; Pope Francis; space studies; Theology; transcendence; W.B. Drees",,,,,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85126817203
"Rediehs L.","56154626600;","The Quaker Experiential Integration of Science and Religion",2022,"Theology and Science","20","2",,"138","155",,,"10.1080/14746700.2022.2051247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126727173&doi=10.1080%2f14746700.2022.2051247&partnerID=40&md5=8155651c86c2a94882b327748fd184ce","St. Lawrence University, United States","Rediehs, L., St. Lawrence University, United States","We commonly think that the rise of modern science made religious knowledge difficult to justify. There is, however, another way to understand religious thought that not only re-establishes religious knowledge as legitimate but also provides a unique way of integrating science and religion. Once we recognize that religious belief has experiential sources, we see that we can expand empiricism into an epistemology that can ground both science and religion. This approach, not found specifically in any of the typologies for relating science and religion, is a fourth addition to the three ways Ian Barbour identified for integrating science and religion. © 2022 Graduate Theological Union (CTNS Program).","empiricism; epistemology; Ian Barbour; Quakerism; religious experience; science and religion",,,"Rediehs, L.; St. Lawrence UniversityUnited States; email: lrediehs@stlawu.edu",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85126727173
"Lee S.","57535993100;","Religion and Science in Context of Islam and Korean Christianity",2022,"Theology and Science","20","2",,"235","246",,,"10.1080/14746700.2022.2051254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126721881&doi=10.1080%2f14746700.2022.2051254&partnerID=40&md5=90d7972de6637f8b40a5f5949e95afc4","Yonsei University in Seoul, South Korea","Lee, S., Yonsei University in Seoul, South Korea","This article suggests three important conclusions through examining dialogical methods of religion and science as well as religious contexts: Islam and Korean Christianity. Firstly, Ted Peters'hypothetical consonance as well as Zainal Bagir's philosophical and theological appreciation of science could be the appropriate models for a dialogue between science and non-Christian religions. Secondly, colonial experiences of Islam should be considered when non-Western religions engage with science. Finally, a local and distinctive context, such as Korean Christianity, can supplement what the Western view of Christianity and the postcolonial view of religion might omit when engaging in dialogue between religion and science. © 2022 Graduate Theological Union (CTNS Program).","colonialism; Ian Barbour; Islam; Korean Christianity; Religion and science; Ted Peters; Zainal Abidin Bagir",,,"Lee, S.; Yonsei University in SeoulSouth Korea",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85126721881
"Kim J.","55264267700;","A Qualification of Methodological Naturalism: Brightman and de Vries Revisited",2022,"Theology and Science","20","2",,"166","178",,,"10.1080/14746700.2022.2051249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126655931&doi=10.1080%2f14746700.2022.2051249&partnerID=40&md5=a1dd37a39b05bab63917eb85aded60a5","Presbyterian, University and Theological Seminary, Seoul, South Korea","Kim, J., Presbyterian, University and Theological Seminary, Seoul, South Korea","In this study I analyze what Edgar Sheffield Brightman and Paul de Vries originally meant by methodological naturalism, when they first invented the term and then argue that both of them proposed a significantly qualified version of scientific naturalism over against the predominance of a reductionist version of scientific naturalism called epistemic reductionism or scientism—that is, an unjustified epistemological assumption that science is the only legitimate way to truth. In the final analysis, I propose a qualified re-definition of methodological naturalism with emphasis on the self-restricted application of the naturalistic method to natural sciences alone. © 2022 Graduate Theological Union (CTNS Program).","Edgar Sheffield Brightman; epistemic reductionism; metaphysical naturalism; methodological naturalism; Paul de Vries; scientism",,,"Kim, J.; Presbyterian, South Korea; email: junghyungkim@gmail.com",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85126655931
"Davison A.","55814533200;","Science-Engaged Theology Comes to San Antonio: A Report from the American Academy of Religion / Society of Biblical Literature Meeting 2021",2022,"Theology and Science","20","1",,"1","3",,,"10.1080/14746700.2021.2012913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123707360&doi=10.1080%2f14746700.2021.2012913&partnerID=40&md5=1a0ff4efeaa1168c8ad59947d69feb4d",,"Davison, A.",[No abstract available],,,,"Davison, A.",,"Routledge",14746700,,,,"English","Theology Sci.",Editorial,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123707360
"Graves M.","26635199600;","Computational Topic Models for Theological Investigations",2022,"Theology and Science","20","1",,"69","84",,,"10.1080/14746700.2021.2012922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122956947&doi=10.1080%2f14746700.2021.2012922&partnerID=40&md5=fe4aa886da661f6ffdb8902e1eda9dd4",,"Graves, M.","Sallie McFague’s theological models construct a tensive relationship between conceptual structures and symbolic, metaphorical language to interpret the defining and elusive aspects of theological phenomena and loci. Computational models of language can extend and formalize the conceptual structures of theological models to develop computer-augmented interpretations of theological texts. Previously unclear is whether computational models can retain the tensive symbolism essential for theological investigation. I demonstrate affirmatively by constructing a computational topic model of the moral theology of Thomas Aquinas from Summa Theologica (Second Part, in English translation) useful for interpreting not only the Thomistic text but also recent papal encyclicals. © 2022 Graduate Theological Union (CTNS Program).","Artificial intelligence; moral theology; papal encyclicals; Summa Theologica; theological models; Thomas Aquinas; topic models",,,"Graves, M.email: mgraves@nd.edu",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85122956947
"Tabaczek M.","55697475000;","Does God Create Through Evolution? A Thomistic Perspective",2022,"Theology and Science","20","1",,"46","68",,,"10.1080/14746700.2021.2012917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122262244&doi=10.1080%2f14746700.2021.2012917&partnerID=40&md5=36051fd6512be60f2a4286c124693970",,"Tabaczek, M.","Many advocates of theistic evolutionism develop an image of God creating within and through evolutionary processes. Defining their position as “evolutionist creationism,” they conceive God as sharing his divine power to create with his creatures. I claim that evolutionary transformations can certainly be thought as particular exemplifications of the concurrence of divine and natural causes. However, because they occur within already existing matter, they should not be conceived as an aspect of divine creation but rather as an important part of divine providential governance and guidance of the created universe toward its end. © 2022 Graduate Theological Union (CTNS Program).","Creation and evolution; divine governance; evolutionary creationism; evolutionary transformism; primary and secondary causation; theistic evolutionism; Thomas Aquinas",,,"Tabaczek, M.",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85122262244
"Young W.","57396060300;","Virtual Pastor: Virtualization, AI, and Pastoral Care",2022,"Theology and Science","20","1",,"6","22",,1,"10.1080/14746700.2021.2012915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122241226&doi=10.1080%2f14746700.2021.2012915&partnerID=40&md5=4004f943d6b992a0d0ab3a72170be0d4","the University of Texas at Austin., United States","Young, W., the University of Texas at Austin., United States","This paper explores innovations in AI and virtual reality that could reshape pastoral care delivery. This includes approaches that preserve the paradigm of a human care provider interacting directly with a client, and others in which the provider is not present in real time or care is provided by a digital system. We investigate the feasibility of automated pastoral carebots and issues these would raise. We conclude that carebots are not yet able to provide pastoral care. However, technological progress ultimately may compel religious communities to confront new questions about the potential for automating relationships in ministry. © 2022 Graduate Theological Union (CTNS Program).","Artificial intelligence; augmented reality; clergy; pastoral care; theology; virtual reality",,,"Young, W.; the University of Texas at Austin.United States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85122241226
"Oviedo L.","23668474900;","Original Sin: The New Scientific Context as Challenge and Opportunity",2022,"Theology and Science","20","1",,"99","118",,,"10.1080/14746700.2021.2012926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121762229&doi=10.1080%2f14746700.2021.2012926&partnerID=40&md5=51784e0bbe122c39685b7bd798f6e458","the Antonianum University, Rome, United States; Theological Institute of Murcia, Spain","Oviedo, L., the Antonianum University, Rome, United States, Theological Institute of Murcia, Spain","The doctrine of original sin serves as a major challenge to apologetic theological reflection. The challenge is more demanding in times of the widespread scientific worldview, which renders biblical accounts on human evil less credible and questions the rationalization efforts produced by ancient and medieval theology. Recent developments in scientific anthropology offer a chance to better approach human negativity. So far, theologians have tried in the last years to apply those advances to update that doctrine, although not to the point which could lessen its mystery. Original sin expresses a general state of human frailty, whose origins escape scientific analysis. © 2021 Graduate Theological Union (CTNS Program).","cultural evolution; evolution; moral evil; Original sin; theological anthropology",,,"Oviedo, L.; the Antonianum UniversityUnited States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85121762229
"Bracken J.A.","15041626600;","Freedom All the Way Up: A New Look",2022,"Theology and Science","20","1",,"119","130",,,"10.1080/14746700.2021.2012927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121743351&doi=10.1080%2f14746700.2021.2012927&partnerID=40&md5=64f11a40c84378347243c7c1fb5aeb3f","Xavier University in CincinnatiOH, United States","Bracken, J.A., Xavier University in CincinnatiOH, United States","Against scientism, the alleged priority of science over all other forms of knowledge, Christian Barrigar proposes that human beings should enjoy the higher-order freedom to live in accord with God’s own agapic freedom and love to serve others. But thereby what is lost in thus obeying God’s will is the autonomous freedom of human beings to make their own choices and to take responsibility to correct those mistakes through a gradual process of trial-and-error. Scholars in the Aristotelian-Thomistic approach to reality might embrace instead a collective or systems-oriented approach to reality that allows for such autonomous freedom. © 2021 Graduate Theological Union (CTNS Program).","A. N. Whitehead; materialistic determinism (Scientism); methodological naturalism; panenthism; System; trinity",,,"Bracken, J.A.; Xavier University in CincinnatiUnited States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85121743351
"Peters T.","7402962962;","Theology of Nature Belongs within Public Theology",2022,"Theology and Science","20","1",,"4","5",,,"10.1080/14746700.2021.2012914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121527119&doi=10.1080%2f14746700.2021.2012914&partnerID=40&md5=68991cb6fc550e7722366bcc2fe84628",,"Peters, T.",[No abstract available],,,,"Peters, T.",,"Routledge",14746700,,,,"English","Theology Sci.",Editorial,"Final","",Scopus,2-s2.0-85121527119
"Campa R., Corbally C., Rappaport M.B.","57196059747;6602876806;56519496200;","A Theory of the Merging Noospheres: Teilhard and Big History",2022,"Theology and Science","20","1",,"85","98",,,"10.1080/14746700.2021.2012924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121358963&doi=10.1080%2f14746700.2021.2012924&partnerID=40&md5=07fcc83fe4f83b95dde3ddc8e33d9b1f","the Jagiellonian University in Cracow, Poland; Department of Astronomy, University of Arizona, Tucson, AZ, United States; George Washington Universities, United States","Campa, R., the Jagiellonian University in Cracow, Poland; Corbally, C., Department of Astronomy, University of Arizona, Tucson, AZ, United States; Rappaport, M.B., George Washington Universities, United States","As the number of detected Earth-like exoplanets keeps increasing, the prospect of contact with extraterrestrial civilizations becomes day after day more plausible. It has been noticed that the encounter between space civilizations implies a fusion of Big Histories. By following Teilhard, the authors argue that the hypothetical contact with alien intelligent life would also result in a merging of the noospheres. The long-term perspective of this process is the awakening of the entire universe. This article provides a history of the idea of noosphere, a reconstruction of Teilhard’s “sociological theory,” and an exploration of the theological consequences of his theory. © 2021 Graduate Theological Union (CTNS Program).","Big History; christianity; exoplanets; extraterrestrial life; noosphere; Pierre Teilhard de chardin",,,,,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85121358963
"Ungureanu J.C.","57189328544;","“Your God is Too Small”: Retracing the Origins of Conflict Between Science and Religion",2022,"Theology and Science","20","1",,"23","45",,,"10.1080/14746700.2021.2012916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121349325&doi=10.1080%2f14746700.2021.2012916&partnerID=40&md5=12f450a217dfe30ecc1ac5971b98f801","Institute for Advanced Studies in the Humanities (IASH, University of Queensland, Australia","Ungureanu, J.C., Institute for Advanced Studies in the Humanities (IASH, University of Queensland, Australia","In this paper I reexamine the origins of John William Draper’s “conflict thesis.” I propose an alternative conclusion than what most historians of science have offered, one based on a synthesis of recent work, and one which treats Draper’s “conflict thesis” not simply as anti-Catholic propaganda, nor as a quest for cultural dominance, nor even as anti-religious in intent. Rather, the “conflict thesis” was—and may still be—a theological response. © 2021 Graduate Theological Union (CTNS Program).","Conflict thesis; history of science and religion; John William Draper; natural theology",,,"Ungureanu, J.C.; Institute for Advanced Studies in the Humanities (IASH, Australia",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85121349325
"Davison A.","55814533200;","Science News for Theological Study: Machine Learning Unravels the Protein Folding Knot",2021,"Theology and Science","19","4",,"329","331",,,"10.1080/14746700.2021.1982246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117355366&doi=10.1080%2f14746700.2021.1982246&partnerID=40&md5=7bd58b04019cdef9467be9df4edbcad1","University of Cambridge, United Kingdom","Davison, A., University of Cambridge, United Kingdom",[No abstract available],,,"Jumper, J., Evans, R., Pritzel, A., https://doi.org/10.1038/s41586-021-03819-2, Highly Accurate Protein Structure Prediction with AlphaFold., Nature, (2021; Tunyasuvunakool, K., Adler, J., Wu, Z., https://doi.org/10.1038/s41586-021-03828-1, Highly accurate protein structure prediction for the human proteome., Nature, (2021; Callaway, E., https://doi.org/10.1038/d41586-020-03348-4, ‘It will change everything’: DeepMind’s AI makes gigantic leap solving protein structures., Nature, 588, 203–204 (2020","Davison, A.; University of CambridgeUnited Kingdom",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85117355366
